Type,Source/Category,Amount,Date
Income,Salary,700,2020-06-21
Income,Dividends,360,2020-11-27
Income,Rent,860,2018-11-24
Income,Dividends,400,2018-11-28
Income,Salary,80,2020-06-29
Income,Dividends,550,2019-01-12
Income,Salary,2350,2020-06-05
Income,Salary,460,2021-09-28
Income,Dividends,950,2022-09-13
Income,Rent,1700,2022-04-30
Income,Salary,700,2020-11-16
Income,Salary,100,2021-08-25
Income,Dividends,760,2018-04-24
Income,Dividends,160,2023-03-25
Income,Rent,500,2021-08-08
Income,Dividends,700,2018-08-14
Income,Salary,400,2023-10-28
Income,Rent,1850,2022-09-12
Income,Rent,1900,2021-10-06
Income,Dividends,1250,2023-10-31
Income,Dividends,140,2019-11-14
Income,Rent,2350,2019-04-16
Income,Dividends,550,2020-05-20
Income,Dividends,320,2023-08-06
Income,Rent,600,2020-07-21
Income,Dividends,700,2022-02-18
Income,Salary,740,2018-05-04
Income,Salary,100,2022-04-03
Income,Salary,720,2020-06-20
Income,Salary,160,2023-01-27
Income,Dividends,160,2018-11-03
Income,Salary,1100,2020-01-31
Income,Dividends,740,2018-05-01
Income,Dividends,220,2019-09-24
Income,Rent,60,2023-02-16
Income,Dividends,1450,2019-04-10
Income,Rent,80,2021-03-02
Income,Rent,80,2019-02-17
Income,Dividends,160,2020-11-26
Income,Salary,120,2018-06-07
Income,Salary,2100,2021-12-14
Income,Salary,750,2022-04-10
Income,Salary,140,2022-02-01
Income,Salary,220,2019-06-27
Income,Salary,900,2021-03-18
Income,Rent,200,2020-04-13
Income,Salary,680,2018-06-07
Income,Dividends,820,2021-05-03
Income,Dividends,450,2020-10-29
Income,Dividends,580,2021-11-22
Income,Dividends,850,2020-03-04
Income,Rent,940,2018-04-11
Income,Salary,300,2022-10-19
Income,Rent,750,2022-08-15
Income,Salary,2000,2020-07-29
Income,Salary,720,2023-11-20
Income,Salary,800,2022-02-24
Income,Dividends,940,2020-06-04
Income,Salary,1300,2023-10-12
Income,Salary,850,2021-06-05
Income,Rent,120,2022-07-28
Income,Rent,1950,2019-03-12
Income,Salary,620,2018-08-07
Income,Rent,950,2022-03-06
Income,Salary,80,2018-02-03
Income,Rent,1350,2022-04-20
Income,Dividends,1550,2021-04-21
Income,Dividends,480,2019-08-16
Income,Salary,240,2020-03-20
Income,Rent,140,2018-11-09
Income,Rent,180,2021-02-07
Income,Salary,200,2021-10-28
Income,Dividends,1800,2022-09-09
Income,Salary,600,2023-01-30
Income,Salary,520,2019-02-25
Income,Rent,280,2019-03-23
Income,Rent,180,2021-12-01
Income,Salary,1750,2018-11-23
Income,Rent,1650,2021-01-07
Income,Salary,760,2022-06-30
Income,Dividends,520,2023-11-22
Income,Dividends,600,2020-01-02
Income,Dividends,80,2021-02-20
Income,Dividends,800,2018-07-21
Income,Rent,700,2018-06-20
Income,Salary,240,2018-06-14
Income,Salary,440,2023-12-29
Income,Salary,150,2023-06-20
Income,Rent,280,2023-04-26
Income,Dividends,150,2021-07-12
Income,Salary,100,2022-02-04
Income,Dividends,940,2021-05-15
Income,Rent,640,2023-08-17
Income,Rent,340,2020-10-30
Income,Dividends,700,2023-04-18
Income,Dividends,220,2020-04-17
Income,Dividends,500,2020-03-20
Income,Rent,220,2018-01-08
Income,Rent,100,2019-07-07
Income,Salary,650,2018-07-21
Income,Rent,460,2023-06-11
Income,Dividends,100,2019-01-03
Income,Rent,850,2020-10-22
Income,Salary,500,2019-06-27
Income,Dividends,360,2020-01-14
Income,Rent,240,2020-10-12
Income,Dividends,340,2021-07-29
Income,Rent,140,2019-06-16
Income,Rent,250,2023-09-29
Income,Salary,950,2019-02-25
Income,Rent,660,2021-09-18
Income,Dividends,960,2019-08-25
Income,Dividends,550,2023-09-19
Income,Rent,280,2022-11-01
Income,Salary,960,2021-04-09
Income,Rent,650,2023-01-31
Income,Salary,1550,2022-01-26
Income,Rent,300,2020-04-10
Income,Salary,240,2022-04-22
Income,Salary,850,2022-08-20
Income,Salary,600,2023-05-07
Income,Rent,360,2022-07-04
Income,Rent,600,2018-12-13
Income,Dividends,2300,2020-01-07
Income,Rent,900,2021-05-21
Income,Dividends,750,2018-08-01
Income,Salary,200,2020-02-04
Income,Salary,1400,2023-05-10
Income,Rent,880,2020-11-20
Income,Rent,280,2021-06-14
Income,Salary,650,2023-04-22
Income,Rent,2150,2022-09-04
Income,Rent,40,2020-09-24
Income,Dividends,840,2021-10-10
Income,Dividends,380,2019-11-17
Income,Rent,300,2019-07-07
Income,Dividends,750,2019-01-19
Income,Salary,1650,2019-06-08
Income,Rent,240,2019-01-15
Income,Rent,200,2022-04-27
Income,Dividends,1050,2019-11-11
Income,Dividends,80,2021-02-28
Income,Rent,250,2019-09-30
Income,Rent,340,2018-04-19
Income,Rent,750,2022-03-05
Income,Dividends,700,2018-12-26
Income,Rent,400,2022-10-07
Income,Salary,750,2019-07-15
Income,Dividends,2350,2020-02-21
Income,Salary,200,2022-07-02
Income,Rent,1450,2021-10-19
Income,Rent,950,2021-11-16
Income,Dividends,1000,2019-10-02
Income,Dividends,220,2019-08-19
Income,Salary,150,2019-09-21
Income,Rent,260,2020-10-17
Income,Rent,640,2023-10-24
Income,Salary,250,2019-10-21
Income,Rent,350,2018-04-08
Income,Dividends,1550,2018-09-07
Income,Rent,500,2019-01-08
Income,Salary,320,2022-01-17
Income,Dividends,440,2021-09-07
Income,Rent,300,2022-02-24
Income,Rent,980,2023-01-11
Income,Salary,520,2023-02-11
Income,Dividends,280,2019-10-02
Income,Salary,440,2021-12-26
Income,Rent,1000,2018-08-25
Income,Salary,540,2020-09-24
Income,Salary,120,2019-02-15
Income,Dividends,100,2019-07-16
Income,Rent,860,2021-03-10
Income,Dividends,800,2018-09-13
Income,Salary,380,2019-08-16
Income,Rent,180,2021-02-15
Income,Salary,920,2020-05-16
Income,Salary,140,2019-01-10
Income,Rent,400,2020-09-15
Income,Salary,1300,2020-01-07
Income,Rent,2100,2023-12-26
Income,Dividends,240,2021-09-18
Income,Salary,1900,2022-02-11
Income,Dividends,140,2019-03-03
Income,Rent,140,2021-06-18
Income,Salary,800,2023-01-01
Income,Rent,350,2020-05-15
Income,Salary,1400,2021-09-27
Income,Dividends,300,2022-04-11
Income,Dividends,550,2019-04-06
Income,Dividends,300,2020-07-02
Expense,Rent,150,2019-09-11
Expense,Groceries,0,2023-06-27
Expense,Bills,40,2021-10-26
Expense,Rent,20,2022-05-13
Expense,Bills,0,2020-09-06
Expense,Bills,0,2020-04-12
Expense,Entertainment,60,2018-10-16
Expense,Rent,20,2023-07-15
Expense,Groceries,20,2020-09-01
Expense,Entertainment,80,2021-04-14
Expense,Bills,100,2021-08-10
Expense,Bills,20,2021-05-05
Expense,Rent,50,2022-09-18
Expense,Rent,20,2020-03-15
Expense,Rent,0,2019-09-18
Expense,Entertainment,50,2019-03-28
Expense,Entertainment,50,2021-04-22
Expense,Rent,0,2022-09-28
Expense,Entertainment,100,2018-12-09
Expense,Groceries,150,2020-04-16
Expense,Bills,100,2021-07-29
Expense,Groceries,100,2023-04-26
Expense,Bills,80,2020-12-10
Expense,Groceries,100,2023-11-22
Expense,Rent,20,2018-07-31
Expense,Entertainment,20,2018-05-01
Expense,Groceries,0,2021-11-02
Expense,Bills,100,2020-11-30
Expense,Entertainment,50,2018-02-13
Expense,Groceries,100,2018-09-11
Expense,Groceries,80,2018-01-22
Expense,Entertainment,50,2018-11-24
Expense,Bills,100,2022-06-07
Expense,Entertainment,0,2019-07-21
Expense,Rent,50,2023-06-23
Expense,Entertainment,50,2019-11-27
Expense,Rent,20,2020-06-08
Expense,Bills,150,2022-07-01
Expense,Bills,0,2018-09-06
Expense,Entertainment,200,2018-08-13
Expense,Rent,150,2023-07-13
Expense,Entertainment,20,2023-09-19
Expense,Entertainment,50,2020-03-22
Expense,Bills,60,2023-02-12
Expense,Entertainment,60,2018-03-03
Expense,Rent,20,2021-05-02
Expense,Bills,200,2020-10-11
Expense,Groceries,20,2021-11-26
Expense,Groceries,250,2020-08-11
Expense,Rent,20,2018-01-12
Expense,Groceries,0,2022-07-30
Expense,Groceries,250,2019-11-01
Expense,Entertainment,0,2019-09-26
Expense,Groceries,20,2023-02-01
Expense,Groceries,50,2021-01-14
Expense,Rent,50,2020-09-19
Expense,Groceries,50,2019-12-17
Expense,Bills,50,2023-08-08
Expense,Bills,40,2018-12-31
Expense,Bills,80,2018-03-31
Expense,Groceries,20,2023-06-25
Expense,Rent,100,2022-11-12
Expense,Bills,20,2020-07-02
Expense,Entertainment,20,2020-11-14
Expense,Entertainment,20,2021-03-07
Expense,Rent,20,2020-12-06
Expense,Rent,80,2019-05-04
Expense,Groceries,20,2021-11-01
Expense,Rent,20,2018-05-18
Expense,Rent,50,2020-11-09
Expense,Bills,0,2023-08-30
Expense,Bills,40,2023-12-10
Expense,Rent,20,2022-12-10
Expense,Rent,0,2022-03-01
Expense,Groceries,40,2018-06-04
Expense,Entertainment,100,2018-06-27
Expense,Groceries,200,2022-11-28
Expense,Bills,20,2023-01-24
Expense,Rent,100,2021-01-05
Expense,Rent,250,2023-10-06
Expense,Bills,0,2020-01-21
Expense,Rent,50,2020-04-22
Expense,Entertainment,20,2022-11-05
Expense,Bills,50,2021-07-31
Expense,Groceries,40,2023-06-20
Expense,Rent,150,2021-10-28
Expense,Rent,100,2021-08-27
Expense,Bills,60,2023-01-26
Expense,Groceries,20,2020-12-26
Expense,Entertainment,20,2021-11-15
Expense,Entertainment,60,2020-05-10
Expense,Rent,50,2022-02-23
Expense,Rent,0,2018-04-06
Expense,Bills,100,2023-04-19
Expense,Bills,40,2020-04-20
Expense,Bills,50,2020-04-08
Expense,Groceries,20,2021-04-02
Expense,Bills,60,2021-03-06
Expense,Groceries,20,2021-08-18
Expense,Rent,200,2021-01-14
Expense,Groceries,20,2023-10-18
Expense,Rent,150,2022-04-25
Expense,Groceries,200,2023-12-22
Expense,Entertainment,20,2021-05-08
Expense,Bills,50,2021-09-08
Expense,Groceries,60,2022-07-25
Expense,Groceries,40,2019-08-17
Expense,Entertainment,100,2022-10-04
Expense,Groceries,100,2022-04-04
Expense,Entertainment,40,2019-07-29
Expense,Rent,20,2023-03-16
Expense,Rent,40,2018-09-06
Expense,Bills,100,2019-03-06
Expense,Rent,100,2018-09-03
Expense,Entertainment,20,2022-12-12
Expense,Entertainment,20,2021-04-08
Expense,Groceries,150,2019-08-12
Expense,Entertainment,80,2019-02-28
Expense,Entertainment,20,2020-10-07
Expense,Groceries,50,2021-06-17
Expense,Groceries,60,2023-11-11
Expense,Rent,50,2021-05-11
Expense,Groceries,100,2021-03-14
Expense,Entertainment,50,2023-08-05
Expense,Rent,20,2020-05-16
Expense,Bills,200,2023-01-03
Expense,Bills,200,2023-03-04
Expense,Rent,20,2023-08-25
Expense,Entertainment,250,2020-12-03
Expense,Groceries,200,2022-11-02
Expense,Rent,60,2019-04-14
Expense,Entertainment,200,2020-12-10
Expense,Entertainment,0,2019-01-07
Expense,Rent,50,2018-01-14
Expense,Entertainment,50,2021-04-09
Expense,Entertainment,50,2019-10-31
Expense,Rent,100,2019-03-26
Expense,Entertainment,50,2021-11-27
Expense,Rent,20,2023-02-09
Expense,Bills,80,2018-08-26
Expense,Entertainment,20,2020-10-11
Expense,Entertainment,50,2023-08-17
Expense,Entertainment,200,2023-09-24
Expense,Entertainment,20,2021-11-01
Expense,Bills,0,2020-08-22
Expense,Rent,40,2023-12-04
Expense,Groceries,20,2021-02-02
Expense,Entertainment,50,2020-08-30
Expense,Groceries,100,2019-06-08
Expense,Entertainment,250,2019-11-10
Expense,Rent,50,2018-01-27
Expense,Rent,0,2022-12-13
Expense,Rent,100,2021-03-30
Expense,Groceries,80,2022-04-26
Expense,Rent,100,2019-07-14
Expense,Bills,100,2022-07-10
Expense,Bills,80,2020-06-16
Expense,Rent,50,2023-10-31
Expense,Entertainment,60,2018-09-13
Expense,Rent,150,2019-06-11
Expense,Groceries,40,2019-02-04
Expense,Rent,20,2020-02-01
Expense,Rent,250,2018-01-16
Expense,Entertainment,40,2020-05-05
Expense,Groceries,20,2020-10-26
Expense,Groceries,0,2018-10-28
Expense,Groceries,0,2019-10-21
Expense,Groceries,50,2018-10-04
Expense,Rent,20,2023-12-12
Expense,Entertainment,20,2023-08-04
Expense,Entertainment,80,2022-02-24
Expense,Entertainment,0,2022-06-22
Expense,Bills,0,2019-03-26
Expense,Bills,20,2018-07-16
Expense,Entertainment,100,2022-01-30
Expense,Entertainment,80,2021-07-13
Expense,Groceries,100,2020-04-20
Expense,Entertainment,80,2022-03-04
Expense,Entertainment,20,2021-09-01
Expense,Rent,100,2019-07-25
Expense,Rent,100,2023-11-03
Expense,Groceries,40,2018-08-31
Expense,Entertainment,20,2020-02-10
Expense,Bills,100,2018-06-13
Expense,Entertainment,0,2021-04-21
Expense,Groceries,150,2019-12-26
Expense,Rent,0,2018-01-09
Expense,Entertainment,150,2019-02-25
Expense,Entertainment,20,2022-07-01
Expense,Bills,20,2021-04-26
Expense,Bills,200,2023-01-28
Expense,Bills,40,2023-02-27
Expense,Bills,20,2022-11-25
Expense,Bills,50,2022-02-16
Expense,Groceries,100,2022-02-18
Expense,Rent,200,2018-08-12
Expense,Entertainment,50,2023-05-10
Expense,Groceries,100,2020-10-04
Expense,Entertainment,20,2019-09-25
Expense,Rent,100,2018-08-22
Expense,Rent,100,2021-03-16
Expense,Groceries,40,2023-12-21
Expense,Bills,200,2019-06-30
Expense,Rent,40,2021-06-11
Expense,Rent,20,2020-03-24
Expense,Groceries,0,2019-10-11
Expense,Groceries,40,2019-05-04
Expense,Bills,200,2021-08-23
Expense,Groceries,50,2023-05-26
